,County,State,Population,Percent Republican,Latitude,Longitude,March,April,May,June,July,August
1198,INDIANA,PA,85032.0,0.6818049419874751,40.6521,-79.0875,315.0,573.0,394.0,58.0,85.0,134.0
1199,JUNIATA,PA,24624.0,0.8012123225110023,40.5311,-77.4022,123.0,127.0,64.0,11.0,14.0,33.0
1200,LEBANON,PA,139729.0,0.6521939373639256,40.3672,-76.4577,1087.0,1598.0,655.0,115.0,183.0,286.0
1201,CARBON,PA,63887.0,0.6537214903803265,40.9182,-75.7088,583.0,622.0,241.0,32.0,76.0,145.0
1202,KENT,RI,163869.0,0.45117248343054794,41.6722,-71.593,1675.0,3659.0,2076.0,2601.0,2760.0,
1203,WASHINGTON,RI,126060.0,0.3920326058374967,41.4697,-71.6226,870.0,2134.0,1045.0,2502.0,1219.0,
1204,NEWPORT,RI,82801.0,0.3406864869550143,41.5564,-71.2368,442.0,1475.0,908.0,1282.0,1375.0,
1205,BRISTOL,RI,48764.0,0.34295266584550416,41.7173,-71.284,356.0,1276.0,554.0,761.0,831.0,
1206,PROVIDENCE,RI,635737.0,0.37610345219626873,41.8721,-71.58,8414.0,17605.0,8216.0,13225.0,12110.0,
1207,MARLBORO,SC,26753.0,0.4406779661016949,34.602,-79.6786,134.0,178.0,154.0,46.0,99.0,187.0
1208,OCONEE,SC,77528.0,0.7302547457460411,34.7534,-83.0658,443.0,479.0,284.0,100.0,349.0,565.0
1209,LEXINGTON,SC,290278.0,0.6420300481434342,33.9023,-81.2722,1760.0,1297.0,616.0,272.0,2230.0,3631.0
1210,CHARLESTON,SC,401165.0,0.42629205371543977,32.8346,-79.9531,2482.0,1947.0,765.0,354.0,2184.0,4018.0
1211,YORK,SC,265872.0,0.5742936480388754,34.9747,-81.1844,2017.0,1876.0,1154.0,399.0,1578.0,2015.0
1212,AIKEN,SC,168301.0,0.6056113165463404,33.5443,-81.6347,735.0,592.0,353.0,121.0,894.0,1664.0
1213,ANDERSON,SC,198064.0,0.7031209349276222,34.5193,-82.6378,1184.0,851.0,491.0,110.0,842.0,1575.0
1214,LANCASTER,SC,92308.0,0.607844710034491,34.6867,-80.7054,539.0,471.0,248.0,107.0,400.0,597.0
1215,CLARENDON,SC,33957.0,0.4996713081933903,33.6658,-80.2164,243.0,122.0,57.0,24.0,189.0,296.0
1216,BARNWELL,SC,21346.0,0.5321189807189226,33.266,-81.435,67.0,62.0,49.0,28.0,96.0,166.0
1217,RICHLAND,SC,411357.0,0.3008585196726894,34.0218,-80.9031,2465.0,1993.0,1032.0,638.0,2561.0,3822.0
1218,SPARTANBURG,SC,307617.0,0.6293767448118126,34.9312,-81.9908,2611.0,1910.0,852.0,234.0,1526.0,2061.0
1219,ORANGEBURG,SC,87687.0,0.33012983861181894,33.439,-80.8003,506.0,325.0,174.0,66.0,357.0,487.0
1220,BEAUFORT,SC,186095.0,0.5437113507435989,32.3855,-80.7302,710.0,386.0,315.0,169.0,1146.0,2288.0
1221,GREENWOOD,SC,70411.0,0.6071049178279073,34.1538,-82.1259,498.0,397.0,187.0,40.0,185.0,236.0
1222,UNION,SC,27490.0,0.6172588066681753,34.6893,-81.6194,203.0,191.0,69.0,13.0,107.0,135.0
1223,FLORENCE,SC,138475.0,0.5055805301503643,34.0245,-79.703,576.0,467.0,277.0,136.0,617.0,1244.0
1224,CHESTER,SC,32311.0,0.5495970045059339,34.692,-81.1595,257.0,154.0,129.0,52.0,202.0,239.0
1225,KERSHAW,SC,65112.0,0.6087305599333909,34.3388,-80.5902,335.0,350.0,138.0,37.0,527.0,855.0
1226,CHEROKEE,SC,56895.0,0.714008705975465,35.0481,-81.6205,322.0,206.0,135.0,74.0,239.0,322.0
1227,BERKELEY,SC,215044.0,0.5494744299144153,33.1973,-79.9522,1234.0,1036.0,420.0,224.0,1327.0,2114.0
1228,SALUDA,SC,20303.0,0.6696139745525124,34.0061,-81.7269,82.0,63.0,44.0,11.0,35.0,117.0
1229,GEORGETOWN,SC,61952.0,0.5587160466892113,33.4343,-79.3323,253.0,199.0,86.0,31.0,296.0,420.0
1230,CHESTERFIELD,SC,45953.0,0.5984848484848485,34.6398,-80.1587,283.0,212.0,137.0,35.0,182.0,309.0
1231,FAIRFIELD,SC,22565.0,0.38109756097560976,34.3951,-81.1212,175.0,91.0,33.0,17.0,114.0,166.0
1232,HORRY,SC,332172.0,0.6610568363895318,33.9215,-78.9965,2295.0,1621.0,732.0,430.0,3013.0,4024.0
1233,JASPER,SC,28657.0,0.4917326663887731,32.4367,-81.0315,82.0,75.0,63.0,29.0,148.0,329.0
1234,NEWBERRY,SC,38194.0,0.614191401427728,34.2898,-81.6001,280.0,225.0,178.0,41.0,194.0,350.0
1235,GREENVILLE,SC,507003.0,0.5811276171292441,34.8944,-82.3707,5141.0,3739.0,1457.0,527.0,2353.0,3259.0
1236,PICKENS,SC,124029.0,0.7456122058874639,34.8873,-82.7252,998.0,788.0,450.0,94.0,553.0,1164.0
1237,DARLINGTON,SC,67027.0,0.5192337353857543,34.3325,-79.9577,292.0,268.0,193.0,54.0,230.0,391.0
1238,SUMTER,SC,106757.0,0.42927228127555195,33.9162,-80.3823,604.0,305.0,137.0,101.0,856.0,1021.0
1239,MARION,SC,31308.0,0.3883977149075082,34.0801,-79.3625,171.0,94.0,27.0,38.0,154.0,310.0
1240,DILLON,SC,30689.0,0.5024043966109457,34.3915,-79.3789,285.0,112.0,41.0,37.0,151.0,259.0
1241,DORCHESTER,SC,158299.0,0.5423665208726934,33.0793,-80.4067,1154.0,1205.0,480.0,305.0,1297.0,2411.0
1242,LAURENS,SC,66846.0,0.656127000787195,34.4836,-82.0059,437.0,527.0,186.0,47.0,156.0,250.0
1243,EDGEFIELD,SC,26927.0,0.6151533373421527,33.7722,-81.9664,173.0,129.0,59.0,28.0,74.0,204.0
1244,COLLETON,SC,37585.0,0.5414095317118706,32.8636,-80.6669,148.0,188.0,67.0,55.0,175.0,329.0
1245,ABBEVILLE,SC,24627.0,0.6607415748411486,34.2226,-82.4592,153.0,119.0,37.0,,73.0,95.0
1246,WILLIAMSBURG,SC,31324.0,0.3460744447919925,33.6199,-79.7277,123.0,114.0,57.0,18.0,134.0,234.0
1247,MINNEHAHA,SD,188674.0,0.5334250373675887,43.6742,-96.7915,3219.0,2913.0,242.0,,,
1248,LINCOLN,SD,56826.0,0.60553772070626,43.2789,-96.7218,875.0,790.0,46.0,,,
1249,BROWN,SD,38915.0,0.6029520715791873,45.5898,-98.3516,399.0,384.0,35.0,,,
1250,MEADE,SD,27717.0,0.7223847841989759,44.5668,-102.7169,237.0,231.0,,,,
1251,CODINGTON,SD,28026.0,0.6806473672213358,44.9779,-97.1886,450.0,606.0,41.0,,,
1252,LAWRENCE,SD,25478.0,0.6329910326873012,44.3586,-103.7923,144.0,146.0,13.0,,,
1253,PENNINGTON,SD,110685.0,0.6096004728954414,44.0037,-102.8238,1009.0,1012.0,53.0,,,
1254,YANKTON,SD,22717.0,0.6037614678899083,43.009,-97.3948,258.0,283.0,19.0,,,
1255,BROOKINGS,SD,34601.0,0.5491865174709961,44.3697,-96.7905,493.0,453.0,72.0,,,
1256,COFFEE,TN,55209.0,0.7364714603409933,35.4906,-86.0748,335.0,160.0,71.0,15.0,130.0,361.0
1257,CUMBERLAND,TN,59216.0,0.779701973419251,35.9504,-84.9984,274.0,307.0,123.0,30.0,292.0,583.0
1258,JEFFERSON,TN,53679.0,0.7897611788617886,36.051,-83.4463,260.0,226.0,111.0,39.0,216.0,417.0
1259,MCMINN,TN,53053.0,0.7966205568201716,35.4248,-84.6175,266.0,277.0,120.0,29.0,259.0,491.0
1260,DEKALB,TN,19847.0,0.7837425114530717,35.9799,-85.8328,73.0,57.0,38.0,11.0,50.0,138.0
1261,HAMILTON,TN,360919.0,0.5382875643580558,35.1808,-85.1648,1998.0,1537.0,889.0,331.0,2153.0,2976.0
1262,MAURY,TN,91976.0,0.674368261997128,35.6169,-87.077,581.0,525.0,189.0,62.0,421.0,794.0
1263,ROBERTSON,TN,70280.0,0.7277041255153187,36.5255,-86.8706,434.0,301.0,126.0,54.0,277.0,568.0
1264,WASHINGTON,TN,127805.0,0.671793764430344,36.2933,-82.4974,845.0,883.0,318.0,78.0,470.0,847.0
1265,BEDFORD,TN,48292.0,0.7519907795473596,35.5138,-86.4589,450.0,234.0,67.0,37.0,146.0,325.0
1266,WARREN,TN,40702.0,0.7402086326441377,35.6787,-85.7785,145.0,70.0,41.0,13.0,98.0,217.0
1267,ANDERSON,TN,76061.0,0.6517852122575204,36.1185,-84.1985,461.0,247.0,127.0,30.0,227.0,500.0
1268,HENRY,TN,32284.0,0.7469262976008507,36.3318,-88.3013,52.0,96.0,78.0,45.0,209.0,343.0
1269,HARDEMAN,TN,25443.0,0.5723939183146179,35.2068,-88.9931,37.0,76.0,45.0,11.0,121.0,292.0
1270,MADISON,TN,97625.0,0.5574621653084982,35.6081,-88.8385,245.0,363.0,201.0,78.0,477.0,1242.0
1271,DAVIDSON,TN,687488.0,0.32364091998269057,36.1695,-86.7848,4141.0,3052.0,1262.0,561.0,3163.0,4927.0
1272,MONTGOMERY,TN,200180.0,0.5496104640558639,36.4969,-87.3828,1167.0,1236.0,583.0,248.0,832.0,1521.0
1273,HICKMAN,TN,24813.0,0.7706468673718471,35.8032,-87.4733,90.0,77.0,34.0,16.0,98.0,242.0
1274,CARTER,TN,56433.0,0.7996080352768251,36.2928,-82.1275,264.0,339.0,124.0,51.0,180.0,477.0
1275,MONROE,TN,46064.0,0.8069913929893735,35.4427,-84.2527,237.0,230.0,122.0,38.0,159.0,466.0
1276,LOUDON,TN,52340.0,0.7398711963744165,35.7348,-84.3118,194.0,182.0,112.0,33.0,195.0,312.0
1277,RHEA,TN,32719.0,0.8102955195424214,35.6087,-84.9244,108.0,77.0,47.0,17.0,122.0,346.0
1278,MARION,TN,28538.0,0.7476614363307181,35.1293,-85.622,105.0,40.0,28.0,67.0,183.0,225.0
1279,PUTNAM,TN,77447.0,0.7072604411633376,36.1408,-85.4952,408.0,354.0,154.0,44.0,253.0,522.0
1280,SULLIVAN,TN,157050.0,0.751240636389311,36.5129,-82.3042,1126.0,1135.0,548.0,121.0,549.0,1198.0
1281,COCKE,TN,35552.0,0.8184938421158894,35.9254,-83.1212,348.0,117.0,73.0,,123.0,438.0
1282,SEVIER,TN,97068.0,0.775996324796141,35.7846,-83.5242,784.0,432.0,210.0,105.0,588.0,914.0
1283,WILSON,TN,136666.0,0.6766581461052065,36.1549,-86.2978,1283.0,761.0,327.0,126.0,657.0,1226.0
1284,CLAIBORNE,TN,31732.0,0.8191579760525299,36.4859,-83.6604,164.0,170.0,38.0,18.0,88.0,197.0
1285,MARSHALL,TN,32965.0,0.7422368597929829,35.4689,-86.765,131.0,134.0,53.0,45.0,188.0,258.0
1286,MORGAN,TN,21545.0,0.8422459893048129,36.135,-84.6492,95.0,83.0,36.0,12.0,122.0,124.0
1287,GREENE,TN,68834.0,0.7925018691921529,36.1753,-82.8458,279.0,271.0,150.0,62.0,275.0,581.0
1288,HENDERSON,TN,27977.0,0.8150582362728785,35.6542,-88.388,42.0,111.0,62.0,11.0,124.0,175.0
1289,WEAKLEY,TN,33510.0,0.7568984346559884,36.2983,-88.7178,157.0,161.0,94.0,35.0,104.0,208.0
1290,HARDIN,TN,25715.0,0.828479805858901,35.1987,-88.1845,111.0,136.0,37.0,14.0,134.0,270.0
1291,MCNAIRY,TN,25844.0,0.8064745011086475,35.1755,-88.5636,42.0,59.0,54.0,31.0,114.0,294.0
1292,SCOTT,TN,21969.0,0.8842244807777286,36.4285,-84.5035,129.0,110.0,75.0,13.0,34.0,137.0
1293,GRAINGER,TN,23101.0,0.8451746595618709,36.2763,-83.5096,96.0,85.0,30.0,12.0,72.0,167.0
1294,ROANE,TN,53075.0,0.741984025928927,35.8479,-84.5232,153.0,167.0,80.0,27.0,220.0,530.0
1295,LAUDERDALE,TN,25989.0,0.6329057445621863,35.761,-89.6315,13.0,62.0,60.0,11.0,97.0,325.0
1296,HAWKINS,TN,56611.0,0.8219867869803416,36.4412,-82.9447,346.0,402.0,288.0,41.0,219.0,451.0
1297,LINCOLN,TN,33924.0,0.7868400820092261,35.1405,-86.589,106.0,102.0,35.0,22.0,161.0,334.0
1298,BLOUNT,TN,129927.0,0.7111501448753171,35.6872,-83.9255,657.0,531.0,232.0,130.0,550.0,1083.0
1299,BRADLEY,TN,105749.0,0.7675569606453723,35.1541,-84.8596,1111.0,884.0,262.0,79.0,427.0,935.0
1300,MACON,TN,23842.0,0.8533783071571625,36.532,-86.0073,141.0,94.0,38.0,,77.0,243.0
1301,SUMNER,TN,183437.0,0.685026449314477,36.4694,-86.4604,1305.0,1017.0,430.0,193.0,1040.0,1639.0
1302,GIBSON,TN,49228.0,0.7279605999552272,35.9966,-88.9326,128.0,191.0,131.0,49.0,370.0,735.0
1303,GILES,TN,29285.0,0.7410437021888965,35.2021,-87.0348,126.0,104.0,52.0,,127.0,209.0
1304,LAWRENCE,TN,43390.0,0.8192114542151939,35.2173,-87.3956,144.0,191.0,158.0,33.0,222.0,397.0
1305,WHITE,TN,26800.0,0.8075662042875158,35.9264,-85.4552,103.0,140.0,94.0,18.0,55.0,155.0
1306,HAMBLEN,TN,64132.0,0.763712394949454,36.2171,-83.2667,337.0,228.0,63.0,31.0,373.0,675.0
1307,CAMPBELL,TN,39797.0,0.8257550391749816,36.4035,-84.1494,204.0,123.0,53.0,15.0,101.0,237.0
1308,CARROLL,TN,27886.0,0.7732045359092818,35.9732,-88.4503,46.0,78.0,60.0,19.0,90.0,242.0
1309,TIPTON,TN,61447.0,0.7349494653581368,35.4969,-89.7592,194.0,191.0,143.0,47.0,515.0,625.0
1310,WILLIAMSON,TN,225389.0,0.6220075387005812,35.8938,-86.8986,1363.0,987.0,405.0,178.0,1248.0,1882.0
1311,SMITH,TN,19740.0,0.7884211689316097,36.2505,-85.9567,134.0,69.0,30.0,12.0,73.0,163.0
1312,DICKSON,TN,52680.0,0.7253628253093779,36.149,-87.3567,308.0,304.0,83.0,67.0,236.0,381.0
1313,OVERTON,TN,22068.0,0.7888811397828036,36.345,-85.2881,84.0,66.0,32.0,13.0,39.0,143.0
1314,KNOX,TN,461104.0,0.56466384954388,35.9932,-83.9371,2431.0,1639.0,675.0,269.0,1764.0,2958.0
1315,CHEATHAM,TN,40181.0,0.7126357354392893,36.2611,-87.0867,378.0,211.0,72.0,11.0,145.0,224.0
1316,FAYETTE,TN,40164.0,0.6826487991646363,35.1971,-89.4144,137.0,240.0,131.0,51.0,253.0,364.0
