,County,State,Population,Percent Republican,Latitude,Longitude,March,April,May,June,July,August
1365,WINDHAM,VT,42823.0,0.25485027414593,42.9906,-72.7138,146.0,179.0,50.0,18.0,32.0,58.0
1366,KING GEORGE,VA,26229.0,0.5936599423631124,38.2733,-77.1572,130.0,119.0,71.0,,45.0,69.0
1367,HANOVER,VA,105537.0,0.6243026990477264,37.7601,-77.4912,692.0,615.0,186.0,69.0,418.0,471.0
1368,LOUISA,VA,36040.0,0.60658879357547,37.9782,-77.9629,122.0,140.0,36.0,16.0,67.0,69.0
1369,ROCKBRIDGE,VA,22570.0,0.6534701462389917,37.8145,-79.4473,145.0,73.0,71.0,29.0,28.0,39.0
1370,YORK,VA,67982.0,0.5217962929545513,37.2432,-76.5636,366.0,217.0,69.0,36.0,177.0,207.0
1371,AMHERST,VA,31775.0,0.6492796236401058,37.6048,-79.1452,99.0,98.0,46.0,28.0,98.0,119.0
1372,DANVILLE CITY,VA,,0.38178453947368424,,,204.0,164.0,120.0,39.0,110.0,181.0
1373,ROANOKE,VA,99229.0,0.5988187187641981,37.2785,-79.958,424.0,321.0,161.0,147.0,316.0,283.0
1374,FRANKLIN,VA,56187.0,0.7034406140587126,36.992,-79.8811,127.0,133.0,64.0,35.0,114.0,217.0
1375,SALEM CITY,VA,,0.5886905217990959,,,133.0,149.0,45.0,26.0,73.0,98.0
1376,ISLE OF WIGHT,VA,36627.0,0.5843707366984994,36.8913,-76.7258,280.0,182.0,43.0,27.0,128.0,168.0
1377,AUGUSTA,VA,75079.0,0.7264771275840863,38.1644,-79.1338,194.0,182.0,164.0,57.0,175.0,376.0
1378,FAIRFAX,VA,1145862.0,0.2800880841855955,38.8368,-77.277,4870.0,3658.0,1043.0,466.0,1628.0,1894.0
1379,CHESAPEAKE CITY,VA,,0.4572245885921758,,,1270.0,1080.0,444.0,171.0,816.0,996.0
1380,NORFOLK CITY,VA,,0.26051251277948173,,,1253.0,1106.0,477.0,171.0,540.0,1018.0
1381,RICHMOND CITY,VA,,0.14933306949928496,,,1084.0,881.0,306.0,127.0,611.0,810.0
1382,WYTHE,VA,28844.0,0.7784117295826976,36.9171,-81.0787,276.0,235.0,78.0,52.0,148.0,241.0
1383,HENRICO,VA,327535.0,0.34610117894805753,37.538,-77.4058,1778.0,1614.0,513.0,240.0,903.0,1075.0
1384,FAUQUIER,VA,69728.0,0.5748895147809759,38.7386,-77.8092,350.0,306.0,94.0,58.0,177.0,259.0
1385,NEW KENT,VA,21686.0,0.6655379724967175,37.5052,-76.9973,150.0,83.0,36.0,13.0,91.0,88.0
1386,ROANOKE CITY,VA,,0.3602474436211712,,,473.0,308.0,149.0,120.0,335.0,268.0
1387,CAROLINE,VA,30381.0,0.5117878192534381,38.0267,-77.3471,218.0,482.0,115.0,64.0,107.0,158.0
1388,CAMPBELL,VA,55225.0,0.7105113541353132,37.2053,-79.0966,131.0,196.0,156.0,51.0,153.0,227.0
1389,FREDERICK,VA,86415.0,0.6272424976394761,39.2046,-78.2625,540.0,570.0,272.0,49.0,190.0,338.0
1390,HAMPTON CITY,VA,,0.27942447352062705,,,965.0,654.0,343.0,95.0,380.0,621.0
1391,CHARLOTTESVILLE CITY,VA,,0.127782596126048,,,222.0,164.0,28.0,33.0,81.0,97.0
1392,LOUDOUN,VA,395134.0,0.36487447549960883,39.0907,-77.6357,2215.0,1859.0,534.0,179.0,697.0,750.0
1393,ACCOMACK,VA,32673.0,0.5407381205046574,37.7643,-75.6333,109.0,86.0,50.0,12.0,101.0,176.0
1394,STAUNTON CITY,VA,,0.4383466748768473,,,95.0,92.0,29.0,,47.0,75.0
1395,FLUVANNA,VA,26594.0,0.5146409188438723,37.8419,-78.2773,278.0,315.0,17.0,,34.0,64.0
1396,CHESTERFIELD,VA,343551.0,0.4575813292147778,37.3785,-77.587,1927.0,1611.0,700.0,250.0,1073.0,1302.0
1397,GOOCHLAND,VA,22865.0,0.587895233600755,37.7217,-77.916,104.0,110.0,29.0,15.0,43.0,78.0
1398,BEDFORD,VA,78376.0,0.7314717787503339,37.3152,-79.5242,286.0,246.0,203.0,79.0,268.0,256.0
1399,FREDERICKSBURG CITY,VA,,0.31350469829929334,,,124.0,196.0,59.0,16.0,57.0,86.0
1400,SCOTT,VA,21902.0,0.8338393596467016,36.7143,-82.6029,116.0,87.0,51.0,13.0,56.0,126.0
1401,STAFFORD,VA,146773.0,0.4726418767032111,38.4207,-77.458,708.0,868.0,328.0,130.0,384.0,542.0
1402,PULASKI,VA,34182.0,0.6975152421488554,37.0636,-80.7144,135.0,144.0,80.0,25.0,86.0,155.0
1403,WAYNESBORO CITY,VA,,0.5138564896892787,,,104.0,102.0,56.0,27.0,48.0,57.0
1404,SMYTH,VA,30767.0,0.7755376344086021,36.8438,-81.537,130.0,266.0,74.0,17.0,58.0,138.0
1405,MANASSAS CITY,VA,,0.36847685239721994,,,156.0,122.0,30.0,,41.0,73.0
1406,MECKLENBURG,VA,30728.0,0.5717282655642624,36.6804,-78.3627,154.0,99.0,50.0,28.0,98.0,94.0
1407,POWHATAN,VA,28815.0,0.7122586530177875,37.5502,-77.9152,132.0,104.0,35.0,,40.0,83.0
1408,NEWPORT NEWS CITY,VA,,0.32456010828103854,,,1235.0,968.0,403.0,163.0,542.0,970.0
1409,LYNCHBURG CITY,VA,,0.4701627983720163,,,386.0,392.0,262.0,44.0,233.0,269.0
1410,PRINCE WILLIAM,VA,461423.0,0.3558201579729002,38.703,-77.4809,2720.0,2339.0,795.0,375.0,911.0,1098.0
1411,ALEXANDRIA CITY,VA,,0.17624604646090086,,,643.0,604.0,191.0,81.0,320.0,323.0
1412,PAGE,VA,23788.0,0.7467636247402909,38.6194,-78.4844,86.0,105.0,60.0,14.0,71.0,87.0
1413,PRINCE EDWARD,VA,22905.0,0.46308093994778066,37.2243,-78.4411,56.0,104.0,53.0,,38.0,65.0
1414,ORANGE,VA,36010.0,0.5987279560566637,38.2462,-78.0137,139.0,137.0,72.0,26.0,77.0,118.0
1415,SHENANDOAH,VA,43224.0,0.6951106232055396,38.8583,-78.5708,184.0,324.0,109.0,25.0,84.0,186.0
1416,DINWIDDIE,VA,28485.0,0.5761330506228466,37.0759,-77.6323,178.0,102.0,39.0,27.0,72.0,112.0
1417,HENRY,VA,51308.0,0.6406818617123157,36.6828,-79.874,178.0,108.0,100.0,30.0,90.0,190.0
1418,CULPEPER,VA,51101.0,0.5905000737571914,38.486,-77.9558,220.0,255.0,117.0,48.0,103.0,168.0
1419,HOPEWELL CITY,VA,,0.41753219775654343,,,256.0,196.0,60.0,34.0,91.0,169.0
1420,ARLINGTON,VA,233464.0,0.17070652215482757,38.8786,-77.1011,1081.0,757.0,187.0,66.0,409.0,451.0
1421,HALIFAX,VA,34552.0,0.5709118807540552,36.7669,-78.9366,209.0,84.0,41.0,18.0,42.0,149.0
1422,LEE,VA,23948.0,0.8409570724841661,36.7054,-83.1286,68.0,47.0,28.0,,32.0,101.0
1423,RUSSELL,VA,27141.0,0.8127147766323024,36.9339,-82.0954,128.0,72.0,52.0,18.0,35.0,92.0
1424,CARROLL,VA,29801.0,0.8085201507313023,36.7316,-80.7339,209.0,280.0,86.0,26.0,69.0,106.0
1425,WARREN,VA,39492.0,0.6652953137560883,38.9087,-78.2085,264.0,324.0,102.0,46.0,127.0,168.0
1426,VIRGINIA BEACH CITY,VA,,0.4614806975324635,,,2572.0,2049.0,758.0,326.0,1312.0,1892.0
1427,GLOUCESTER,VA,37222.0,0.6675192963561299,37.416,-76.5434,178.0,120.0,59.0,32.0,176.0,194.0
1428,WINCHESTER CITY,VA,,0.4310245191116982,,,213.0,141.0,106.0,12.0,50.0,108.0
1429,SUFFOLK CITY,VA,,0.4045364812054309,,,526.0,381.0,147.0,52.0,292.0,454.0
1430,WISE,VA,38486.0,0.8044538068010834,36.9752,-82.6212,102.0,138.0,116.0,40.0,133.0,187.0
1431,JAMES CITY,VA,74916.0,0.4664276073248857,37.3288,-76.7788,392.0,253.0,89.0,39.0,172.0,296.0
1432,PORTSMOUTH CITY,VA,,0.28598013497455216,,,638.0,529.0,205.0,90.0,271.0,455.0
1433,ALBEMARLE,VA,107405.0,0.321759438266545,38.0229,-78.5567,405.0,340.0,65.0,32.0,165.0,199.0
1434,BOTETOURT,VA,33343.0,0.7148132367561426,37.5571,-79.8123,173.0,87.0,46.0,54.0,127.0,83.0
1435,SPOTSYLVANIA,VA,132833.0,0.5232683192373567,38.185,-77.6561,635.0,838.0,410.0,92.0,354.0,502.0
1436,ROCKINGHAM,VA,80284.0,0.6925674904726045,38.512,-78.8758,305.0,311.0,144.0,62.0,143.0,195.0
1437,PITTSYLVANIA,VA,61256.0,0.6939258480147252,36.8213,-79.3971,197.0,143.0,85.0,50.0,174.0,264.0
1438,PRINCE GEORGE,VA,38114.0,0.5793336773897586,37.1865,-77.2242,271.0,213.0,109.0,57.0,153.0,149.0
1439,BUCHANAN,VA,21788.0,0.8346891634026313,37.2666,-82.036,68.0,52.0,69.0,43.0,61.0,99.0
1440,HARRISONBURG CITY,VA,,0.3270929620312409,,,437.0,248.0,59.0,39.0,53.0,102.0
1441,PETERSBURG CITY,VA,,0.11207811504988326,,,377.0,263.0,100.0,39.0,79.0,159.0
1442,TAZEWELL,VA,41603.0,0.8302401746724891,37.125,-81.5606,186.0,187.0,112.0,61.0,66.0,185.0
1443,MONTGOMERY,VA,98140.0,0.4580456069454005,37.1743,-80.3872,873.0,425.0,126.0,17.0,158.0,251.0
1444,WASHINGTON,VA,54071.0,0.755550134179068,36.7244,-81.9598,226.0,334.0,131.0,40.0,156.0,265.0
1445,COWLITZ,WA,106778.0,0.5710683477106835,46.1932,-122.681,535.0,772.0,528.0,405.0,668.0,1139.0
1446,DOUGLAS,WA,42023.0,0.607987610287216,47.7361,-119.6918,207.0,149.0,63.0,99.0,205.0,300.0
1447,WALLA WALLA,WA,60365.0,0.5246153354019385,46.2298,-118.4784,73.0,178.0,159.0,374.0,580.0,412.0
1448,OKANOGAN,WA,41842.0,0.5563386899727469,48.5488,-119.7408,108.0,164.0,196.0,134.0,92.0,149.0
1449,SNOHOMISH,WA,798808.0,0.3792833116072161,48.0475,-121.6975,2213.0,4291.0,2396.0,1262.0,2918.0,3757.0
1450,SPOKANE,WA,505505.0,0.5029143959652033,47.6207,-117.404,2045.0,3230.0,3054.0,1351.0,2264.0,3157.0
1451,STEVENS,WA,44655.0,0.6967288075976081,48.3991,-117.8552,150.0,278.0,200.0,76.0,141.0,225.0
1452,KITSAP,WA,265882.0,0.3879890591912877,47.6132,-122.6717,711.0,1215.0,723.0,345.0,693.0,1124.0
1453,WHITMAN,WA,49231.0,0.4291867840575594,46.9012,-117.523,497.0,285.0,85.0,64.0,74.0,137.0
1454,MASON,WA,63804.0,0.5015682384794788,47.3484,-123.1927,115.0,202.0,166.0,95.0,153.0,344.0
1455,CLARK,WA,473252.0,0.4586115619655559,45.7793,-122.4825,1302.0,2489.0,2294.0,935.0,1521.0,2203.0
1456,PACIFIC,WA,21688.0,0.4943828213879408,46.5557,-123.7041,60.0,115.0,79.0,28.0,92.0,118.0
1457,GRANT,WA,95502.0,0.6572186836518047,47.2057,-119.4518,391.0,527.0,454.0,234.0,342.0,817.0
1458,YAKIMA,WA,249697.0,0.5255579927853378,46.4571,-120.7384,1344.0,1325.0,636.0,524.0,1262.0,1365.0
1459,GRAYS HARBOR,WA,72779.0,0.5170781197159283,47.1503,-123.7735,180.0,285.0,584.0,176.0,306.0,390.0
1460,ASOTIN,WA,22421.0,0.6124173709313028,46.1918,-117.203,53.0,64.0,60.0,29.0,126.0,171.0
1461,BENTON,WA,197518.0,0.5858802519581106,46.2398,-119.5112,700.0,957.0,611.0,654.0,2240.0,2385.0
1462,CHELAN,WA,76229.0,0.5252389969057405,47.8692,-120.619,286.0,277.0,173.0,138.0,282.0,546.0
1463,WHATCOM,WA,220821.0,0.3642259414225941,48.8259,-121.7199,770.0,892.0,998.0,383.0,550.0,808.0
1464,KING,WA,2195502.0,0.22235889590064328,47.4902,-121.8052,7585.0,11963.0,6031.0,2283.0,6434.0,8458.0
1465,KITTITAS,WA,45897.0,0.5350098619329389,47.1244,-120.6799,254.0,401.0,304.0,75.0,150.0,146.0
1466,KLICKITAT,WA,21721.0,0.5337020648967552,45.8738,-120.7891,12.0,44.0,92.0,67.0,65.0,129.0
1467,PIERCE,WA,877013.0,0.42606786315319956,47.0241,-122.1046,4671.0,7310.0,4343.0,1552.0,3733.0,5267.0
1468,ISLAND,WA,82866.0,0.42180806675938803,48.163,-122.5481,133.0,197.0,108.0,79.0,279.0,319.0
1469,SKAGIT,WA,125612.0,0.4462089535976465,48.4794,-121.7302,285.0,665.0,426.0,153.0,339.0,653.0
1470,CLALLAM,WA,75392.0,0.4681308866515102,48.0493,-123.928,70.0,176.0,105.0,116.0,264.0,301.0
1471,FRANKLIN,WA,92009.0,0.5566905320330824,46.5347,-118.8989,433.0,612.0,358.0,303.0,1173.0,1237.0
1472,THURSTON,WA,279711.0,0.3882439006982526,46.9258,-122.8332,685.0,1294.0,1130.0,549.0,1147.0,1426.0
1473,LEWIS,WA,78145.0,0.6486790703833676,46.5778,-122.3927,231.0,437.0,634.0,282.0,421.0,709.0
1474,KANAWHA,WV,183279.0,0.5641505763338359,38.3366,-81.5281,,,27.0,,,
1475,DOUGLAS,WI,43295.0,0.4426388945171617,46.4329,-91.9162,200.0,363.0,227.0,83.0,38.0,69.0
1476,ROCK,WI,162152.0,0.4350749765698219,42.6712,-89.0716,665.0,1078.0,639.0,163.0,263.0,246.0
1477,JEFFERSON,WI,84701.0,0.5670814314595969,43.0208,-88.7759,387.0,350.0,133.0,49.0,189.0,183.0
1478,PORTAGE,WI,70632.0,0.47530970617934637,44.476,-89.5014,121.0,175.0,136.0,29.0,151.0,166.0
1479,SHEBOYGAN,WI,115178.0,0.5697383769371771,43.7212,-87.9454,484.0,470.0,173.0,67.0,285.0,389.0
1480,WALWORTH,WI,103074.0,0.5876909722222222,42.6685,-88.5419,532.0,599.0,288.0,79.0,221.0,266.0
1481,GREEN,WI,36896.0,0.4750537232551621,42.68,-89.6022,204.0,99.0,39.0,12.0,33.0,74.0
1482,TREMPEALEAU,WI,29499.0,0.5743172951885566,44.304,-91.3585,162.0,80.0,25.0,,52.0,87.0
1483,WINNEBAGO,WI,170411.0,0.5082950484941297,44.0689,-88.6446,1320.0,1151.0,607.0,329.0,403.0,512.0
1484,KEWAUNEE,WI,20387.0,0.6553947912360479,44.5161,-87.6153,36.0,48.0,37.0,17.0,26.0,45.0
1485,GRANT,WI,51733.0,0.5522492970946579,42.8675,-90.7062,148.0,184.0,79.0,30.0,30.0,59.0
1486,PIERCE,WI,41977.0,0.5495990050177981,44.7194,-92.4224,230.0,293.0,89.0,16.0,39.0,80.0
1487,JACKSON,WI,20522.0,0.5686370777690495,44.3192,-90.8052,27.0,40.0,14.0,12.0,32.0,63.0
1488,WASHINGTON,WI,134925.0,0.6839672987396389,43.3685,-88.2307,606.0,585.0,308.0,89.0,345.0,495.0
1489,ADAMS,WI,20094.0,0.622948045354544,43.9695,-89.7704,53.0,67.0,51.0,19.0,13.0,62.0
1490,EAU CLAIRE,WI,103514.0,0.4348519948519948,44.7268,-91.286,301.0,230.0,134.0,49.0,216.0,393.0
1491,JUNEAU,WI,26478.0,0.6381938872273689,43.9246,-90.1138,83.0,237.0,50.0,24.0,13.0,22.0
1492,CALUMET,WI,49928.0,0.5899785533242348,44.0816,-88.2181,230.0,161.0,109.0,29.0,106.0,145.0
1493,DANE,WI,536078.0,0.2285442485447706,43.0673,-89.4181,1788.0,2020.0,718.0,244.0,969.0,1195.0
1494,MARINETTE,WI,40391.0,0.6659993907480743,45.383,-88.0334,78.0,153.0,111.0,11.0,46.0,131.0
1495,ST. CROIX,WI,88732.0,0.5678134974518138,45.0341,-92.4528,517.0,879.0,352.0,85.0,138.0,224.0
1496,BARRON,WI,45229.0,0.6234908861358794,45.4237,-91.8483,218.0,464.0,160.0,130.0,39.0,56.0
1497,OUTAGAMIE,WI,185700.0,0.5404917516802132,44.4161,-88.4649,1094.0,811.0,363.0,120.0,347.0,481.0
1498,CHIPPEWA,WI,63892.0,0.593160442985141,45.0694,-91.2798,132.0,189.0,147.0,37.0,165.0,198.0
1499,WAUPACA,WI,51245.0,0.6506007552351528,44.4705,-88.9648,180.0,166.0,75.0,55.0,126.0,116.0
1500,MONROE,WI,45771.0,0.6092167529078767,43.9457,-90.6178,80.0,146.0,108.0,31.0,77.0,153.0
1501,DODGE,WI,87715.0,0.6473490791972912,43.4163,-88.7075,233.0,273.0,166.0,140.0,190.0,183.0
1502,POLK,WI,43438.0,0.6298964771908536,45.4614,-92.4414,232.0,361.0,230.0,67.0,36.0,109.0
1503,SAUK,WI,63922.0,0.4831920006629285,43.4267,-89.9482,236.0,273.0,146.0,42.0,127.0,162.0
1504,IOWA,WI,23618.0,0.42231275014293884,43.0005,-90.1354,100.0,53.0,48.0,,28.0,74.0
1505,MILWAUKEE,WI,951226.0,0.29273527085589285,43.0072,-87.9668,3716.0,2703.0,1800.0,1276.0,1788.0,1559.0
1506,VILAS,WI,21751.0,0.6025766152644935,46.0529,-89.5148,61.0,108.0,38.0,13.0,24.0,23.0
1507,DUNN,WI,44759.0,0.5599812956980106,44.9466,-91.8964,206.0,248.0,64.0,40.0,101.0,104.0
1508,LA CROSSE,WI,117894.0,0.4225443403452949,43.9066,-91.1152,316.0,323.0,227.0,91.0,168.0,320.0
1509,WAUKESHA,WI,400475.0,0.5957141151360468,43.0182,-88.3045,1851.0,1823.0,571.0,218.0,991.0,1416.0
1510,KENOSHA,WI,168524.0,0.5067952849962812,42.5769,-88.0424,547.0,700.0,531.0,168.0,452.0,577.0
1511,BROWN,WI,261368.0,0.5268197504461278,44.4529,-88.0037,1463.0,1123.0,628.0,189.0,420.0,522.0
1512,FOND DU LAC,WI,102597.0,0.6245131089413285,43.7536,-88.4883,320.0,609.0,265.0,137.0,395.0,285.0
1513,WAUSHARA,WI,24193.0,0.6645047169811321,44.1131,-89.2429,39.0,51.0,74.0,24.0,26.0,50.0
1514,TAYLOR,WI,20325.0,0.7165450121654501,45.2116,-90.5012,51.0,38.0,32.0,,11.0,63.0
1515,RACINE,WI,195602.0,0.5117753708278926,42.7475,-88.0612,570.0,969.0,536.0,98.0,508.0,601.0
1516,WOOD,WI,73112.0,0.5885999322001065,44.4553,-90.0416,97.0,229.0,180.0,52.0,117.0,174.0
1517,COLUMBIA,WI,57133.0,0.4997785585638785,43.4666,-89.3337,166.0,180.0,122.0,21.0,47.0,60.0
1518,MANITOWOC,WI,79185.0,0.6071516206027349,44.1199,-87.8097,173.0,201.0,181.0,37.0,48.0,66.0
1519,OCONTO,WI,37646.0,0.6989446478569891,45.0262,-88.2692,103.0,158.0,119.0,33.0,68.0,143.0
1520,VERNON,WI,30633.0,0.5161087734723356,43.5939,-90.8344,49.0,40.0,30.0,,53.0,42.0
1521,ONEIDA,WI,35381.0,0.56587607102943,45.7056,-89.5218,139.0,130.0,34.0,19.0,57.0,58.0
1522,SHAWANO,WI,40904.0,0.6709263762989166,44.7892,-88.7654,116.0,67.0,65.0,27.0,75.0,113.0
1523,DOOR,WI,27472.0,0.4847641298404335,44.9473,-87.3135,125.0,66.0,31.0,,26.0,47.0
1524,MARATHON,WI,135396.0,0.5814126200310094,44.8983,-89.7591,369.0,694.0,288.0,53.0,374.0,282.0
1525,LINCOLN,WI,27744.0,0.6072013093289689,45.3374,-89.7346,73.0,94.0,23.0,,42.0,90.0
1526,OZAUKEE,WI,88597.0,0.5515401880102787,43.384,-87.9509,354.0,305.0,246.0,59.0,288.0,387.0
1527,CLARK,WI,34579.0,0.6713652839307289,44.7347,-90.6121,21.0,66.0,46.0,17.0,65.0,76.0
