District,Population,White Pop,Black Pop,Hispanic Pop,Asian/PI Pop,Native American Pop,Error,White Arrests,Black Arrests,Hispanic Arrests,Asian/PI Arrests,Native American Arrests
1,62781,35208,13657,3766,10864,138,1.357098485,87,"2,690",102,11,1
2,95439,19189,66577,3242,5880,187,0.381395446,44,"3,469",26,3,0
3,75235,1654,71508,1123,322,182,0.592809198,107,"4,203",551,3,1
5,74396,1629,70429,2524,51,166,0.54169579,96,"5,968",70,7,1
6,90841,446,88938,914,68,182,0.322541584,73,"5,357",155,7,1
7,71071,511,69202,1167,71,149,0.040804266,472,"1,807","1,593",13,3
11,70474,4673,60385,8118,374,174,4.611629821,389,"1,608",690,27,0
15,59458,1571,55861,2265,194,144,0.970432911,323,251,703,44,1
18,117041,92302,10875,5806,9886,153,1.692569271,297,441,245,42,3
19,200786,161709,13753,20025,12511,558,3.869791719,101,"2,123",39,0,0
22,101941,36750,62510,3318,393,165,1.172246692,183,715,233,13,1
